pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,acl_X,acl_Y,acl_Z,velocityroll_X,pitch_Y,yaw_Z,roll_X_rate,pitch_Y_rate,yaw_Z_rate,roll_X_acl,pitch_Y_acl,yaw_Z_acl,steerCmd,aclCmd,brakeCmd,clutchCmd,geraCmd
36.3298,101.918,0.501637,0.00910774,7.19707e-09,1.9559,0.120677,-4.90922e-10,-9.80591,1.95592,4.88599e-11,0.0125063,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-2.97627e-08,0,0,0,1,0,0
36.3299,101.918,0.505509,0.00896119,7.19376e-09,1.93629,0.122642,-4.79152e-10,-9.80588,1.93631,4.76597e-11,0.0127066,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-2.87782e-08,0,0,0,1,0,0
36.3299,101.918,0.509342,0.0088225,7.19051e-09,1.91668,0.124606,-4.67382e-10,-9.80586,1.9167,4.64595e-11,0.012907,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-2.78592e-08,0,0,0,1,0,0
36.33,101.918,0.513136,0.00869167,7.18729e-09,1.89707,0.126571,-4.55612e-10,-9.80583,1.89709,4.52593e-11,0.0131073,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-2.70032e-08,0,0,0,1,0,0
36.3301,101.919,0.51689,0.00856869,7.18413e-09,1.87746,0.128535,-4.43842e-10,-9.80581,1.87748,4.4059e-11,0.0133076,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-2.6208e-08,0,0,0,1,0,0
36.3301,101.919,0.520503,0.00845357,6.78684e-09,1.80651,0.130499,-4.32072e-10,-35.4768,1.80653,4.15676e-11,0.0134423,0.499996,-1.24569e-09,0.0673262,8.00467e-09,-3.22794e-07,-16.4202,0,0,0,1,0,0
36.3302,101.919,0.524076,0.00847396,6.78152e-09,1.7869,0.13182,-4.07639e-10,-9.80576,1.78692,3.90763e-11,0.0135769,0.499996,-1.24569e-09,0.0673262,8.00467e-09,0,-2.47926e-08,0,0,0,1,0,0
36.3302,101.919,0.52761,0.00849963,6.77631e-09,1.76729,0.13314,-3.83207e-10,-9.80575,1.76731,3.65849e-11,0.0137116,0.499996,-1.24569e-09,0.0673262,8.00467e-09,0,-2.49128e-08,0,0,0,1,0,0
36.3303,101.919,0.531105,0.00853058,6.77119e-09,1.74768,0.134461,-3.58775e-10,-9.80573,1.7477,3.40935e-11,0.0138462,0.499996,-1.24569e-09,0.0673262,8.00467e-09,0,-2.50646e-08,0,0,0,1,0,0
36.3303,101.919,0.53456,0.00856681,6.76616e-09,1.72807,0.135781,-3.34343e-10,-9.80571,1.72809,3.16021e-11,0.0139809,0.499996,-1.24569e-09,0.0673262,8.00467e-09,0,-2.5248e-08,0,0,0,1,0,0
36.3304,101.919,0.537977,0.00860833,6.76124e-09,1.70846,0.137101,-3.09911e-10,-9.80569,1.70848,2.91107e-11,0.0141156,0.499996,-1.24569e-09,0.0673262,8.00467e-09,0,-2.54636e-08,0,0,0,1,0,0
36.3305,101.919,0.541354,0.00865512,6.75641e-09,1.68885,0.138422,-2.85478e-10,-9.80567,1.68887,2.66193e-11,0.0142502,0.499996,-1.24569e-09,0.0673262,8.00467e-09,0,-2.57116e-08,0,0,0,1,0,0
36.3305,101.919,0.544692,0.0087072,6.75168e-09,1.66924,0.139742,-2.61046e-10,-9.80566,1.66926,2.41279e-11,0.0143849,0.499996,-1.24569e-09,0.0673262,8.00467e-09,0,-2.59927e-08,0,0,0,1,0,0
36.3306,101.919,0.54799,0.00876456,6.74705e-09,1.64963,0.141062,-2.36614e-10,-9.80564,1.64965,2.16365e-11,0.0145195,0.499996,-1.24569e-09,0.0673262,8.00467e-09,0,-2.63072e-08,0,0,0,1,0,0
36.3306,101.919,0.55125,0.00882719,6.74252e-09,1.63002,0.142383,-2.12182e-10,-9.80562,1.63004,1.91451e-11,0.0146542,0.499996,-1.24569e-09,0.0673262,8.00467e-09,0,-2.66558e-08,0,0,0,1,0,0
36.3307,101.919,0.55447,0.00889511,6.73808e-09,1.61041,0.143703,-1.8775e-10,-9.8056,1.61043,1.66538e-11,0.0147888,0.499996,-1.24569e-09,0.0673262,8.00467e-09,0,-2.7039e-08,0,0,0,1,0,0
36.3307,101.919,0.557651,0.00896832,6.73375e-09,1.5908,0.145023,-1.63318e-10,-9.80558,1.59082,1.41624e-11,0.0149235,0.499996,-1.24569e-09,0.0673262,8.00467e-09,0,-2.74577e-08,0,0,0,1,0,0
