pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,acl_X,acl_Y,acl_Z,velocityroll_X,pitch_Y,yaw_Z,roll_X_rate,pitch_Y_rate,yaw_Z_rate,roll_X_acl,pitch_Y_acl,yaw_Z_acl,steerCmd,aclCmd,brakeCmd,clutchCmd,geraCmd
223.865,372.019,2.02871,0.0116714,-4.04338e-08,2.28439,0.0872693,1.44475e-08,-9.80626,2.28442,-1.52412e-09,0.00910295,-3.64353e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-4.97651e-08,0,0,0,1,0,0
223.865,372.019,2.03324,0.0113844,-4.05162e-08,2.26478,0.0892681,1.49465e-08,-9.80624,2.26481,-1.57499e-09,0.00930678,-3.64366e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-4.73299e-08,0,0,0,1,0,0
223.865,372.019,2.03773,0.0111053,-4.05966e-08,2.24517,0.0912669,1.54454e-08,-9.80622,2.2452,-1.62587e-09,0.0095106,-3.64378e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-4.50201e-08,0,0,0,1,0,0
223.865,372.019,2.04218,0.0108342,-4.0675e-08,2.22556,0.0932657,1.59443e-08,-9.80621,2.22559,-1.67675e-09,0.00971443,-3.6439e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-4.28309e-08,0,0,0,1,0,0
223.865,372.019,2.04659,0.0105711,-4.07514e-08,2.20595,0.0952644,1.64433e-08,-9.80619,2.20597,-1.72762e-09,0.00991826,-3.64402e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-4.07576e-08,0,0,0,1,0,0
223.865,372.019,2.05096,0.010316,-4.08258e-08,2.18634,0.0972632,1.69422e-08,-9.80617,2.18636,-1.7785e-09,0.0101221,-3.64415e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-3.87954e-08,0,0,0,1,0,0
223.865,372.019,2.05529,0.0100689,-4.08983e-08,2.16673,0.099262,1.74411e-08,-9.80615,2.16675,-1.82938e-09,0.0103259,-3.64427e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-3.69399e-08,0,0,0,1,0,0
223.865,372.019,2.05959,0.00982974,-4.09687e-08,2.14712,0.101261,1.79401e-08,-9.80613,2.14714,-1.88025e-09,0.0105297,-3.64439e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-3.51866e-08,0,0,0,1,0,0
223.865,372.019,2.06384,0.00959862,-4.10371e-08,2.12751,0.103259,1.8439e-08,-9.80611,2.12753,-1.93113e-09,0.0107336,-3.64451e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-3.35314e-08,0,0,0,1,0,0
223.865,372.019,2.06806,0.0093755,-4.11036e-08,2.1079,0.105258,1.89379e-08,-9.80609,2.10792,-1.98201e-09,0.0109374,-3.64463e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-3.197e-08,0,0,0,1,0,0
